what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200753937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200756028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200775355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200775893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200802185
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292200867538
error,log,,,"GlassFish: publishModule kind= 3  deltaKind=2 1 TestAgain",1292200867796
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1292200880413
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1292200886109
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292200889400
error,log,,,"GlassFish: publishModule kind= 3  deltaKind=2 1 TestAgain",1292200889635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200891358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200892849
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200893953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200912251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200912805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200919594
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292200930604
error,log,,,"GlassFish: publishModule kind= 3  deltaKind=2 1 TestAgain",1292200930919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200932070
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292200947845
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292200955091
