what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295797589160
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295797594805
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295797600973
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1295797603426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295797604921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295797605218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295797607083
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1295797608759
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1295797610990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295797612224
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295797612496
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295797614250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295798218206
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295811675049
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295811678433
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295845523531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295846008249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295846011046
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1295846032855
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295846065826
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1295846068828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1295846070967
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295846071832
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1295846073565
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1295846087395
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1295846088940
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295846097649
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295846101434
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295846112049
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295846113881
